source,a,target,b,relationship,from,editedQuote
65,Alice Wheeler,58,Diana Adams,Mentor,,
56,Amanda Manitach,58,Diana Adams,Collaborator,Amanda Manitach,"She is ever giving, flexible, supportive of young artists. "
56,Amanda Manitach,73,Isvald Klingels,Collaborator,,
56,Amanda Manitach,80,Klara Glosova,Collaborator,,
1,Anne d'Harnoncourt,12,Kimerly Rorschach,Mentorship,Kimerly Rorschach*,"[Anne d'Harnoncourt, Katharine Lee Reid, Mimi Gardner Gates] All women directors of major art museums who helped me along the way in matters large and small."
67,Aramis Hamer,68,Caitlin Clark,Mentor-Peer,Aramis Hamer*,[Of Caitlin Clark and Monica Washingon] We're just three cool girls who just decided to come together and create art.
67,Aramis Hamer,86,Monica Washington,Mentor-Peer,Aramis Hamer,[Of Caitlin Clark and Monica Washingon] We're just three cool girls who just decided to come together and create art.
2,Barbara Earl Thomas,96,Alex Curio,Mentorship,Barbara Earl Thomas,
2,Barbara Earl Thomas,98,Chieko Phillips,Mentorship,Barbara Earl Thomas,
2,Barbara Earl Thomas,69,Davida Ingram,Mentorship,Barbara Earl Thomas,
2,Barbara Earl Thomas,69,Davida Ingram,Mentorship,,
2,Barbara Earl Thomas,105,Leilani Lewis,Mentorship,Barbara Earl Thomas,"I wanted to be the person, to her, that I needed when I was her age—she has been a gift."
2,Barbara Earl Thomas,62,Tariqa Waters,Mentorship,,
55,Barbara Goldstein,47,Ruri Yampolsky,Mentorship,,
27,Barbara Johns,2,Barbara Earl Thomas,Mentorship,Barbara Earl Thomas,"She, working countless hours with staff and a volunteer committee planned and helped install the first exhibit at NAAM."
27,Barbara Johns,25,Rosanna Sharpe,Mentor,,
58,Diana Adams,99,Elisheba Johnson,Collaborator,,
57,Beth Cullom,61,Sharon Arnold,Mentor-Peer,Sharon Arnold,"Her support and encouragement for me and so many other people in Seattle has been invaluable, and appreciated beyond all measure."
24,Beth Takekawa,95,Diane Espaldon,Mentorship,,
24,Beth Takekawa,101,Ethelyn Abellanosa,Mentorship,,
24,Beth Takekawa,102,Joy Shigaki,Mentorship,,
24,Beth Takekawa,84,Misun Chung Gerrick,Mentorship,,
4,Christina Orr-Cahall,20,Stephanie Stebich,Mentorship,Stephanie Stebich,Facilitated the recent major art and endowment gift to TAM from Becky Benaroya...(a) transformative gift of 225 works of NW art and almost $14M for new galleries and collection care funds.
