label,id,rank,size,title,photo,filter
Anne d'Harnoncourt,1,1,6,"Former director, Philadelphia Museum",,
Barbara Earl Thomas,2,1,6,"Artist, former Executive Director, Northwest African American Museum",Yes,
Belinda Tate,3,1,6,"Executive Director, Kalamazoo Institute of Arts",,x
Christina Orr-Cahall,4,1,6,"Former director, Experience Music Project",,
Ida Cole,5,1,6,"Founder, Seattle Theatre Group, former Vice President, Microsoft",,
Irene Hirano Inouye,6,1,6,"President, US-Japan Council; Former President and founding Chief Executive Officer, Japanese American National Museum",,
Jo-Anne Birnie Danzker,7,1,6,"Director, Frye Art Museum",Yes,
Julie Stein,8,1,6,"Executive Director, Burke Museum of Natural History",,
Kate Becker,9,1,6,"Director, City of Seattle Office of Film and Music",Yes,
Katharine Lee Reid,10,1,6,"Former Director, Cleveland Museum of Art",,x
Kaywin Feldman ,11,1,6,"Director and President, Minneapolis Institute of Art",,
Kimerly Rorschach,12,1,6,"Director and CEO, Seattle Art Museum",yes,
Mary Ann Prior,13,1,6,"Director of Art Collections, Vulcan Inc.",Yes,
Megan Jasper,14,1,6,"CEO, SubPop",Yes,
Michelle Bufano,15,1,6,"Executive Director, Chihuly Garden and Glass",,
Mimi Gardner Gates,16,1,6,"Former Director, Seattle Art Museum",Yes,
Mimi Gaudieri,17,1,6,Former Executive Director of Association of Art Museum Directors (AAMD),,x
Patty Isacson Sabee,18,1,6,"CEO and Director, Experience Music Project",,
Sandra Jackson-Dumont,19,1,6,"Chairman of Education, The Metropolitan Museum of Art",Yes,
Stephanie Stebich,20,1,6,"Executive Director, Tacoma Art Museum",Yes,
Sylvia Wolf,21,1,6,"Executive Director, Henry Art Gallery",Yes,
Thelma Golden,22,1,6,"Director and Chief Curator, The Studio Museum in Harlem",,
Connie Wolf,23,1,6,"Director, Cantor Center for Visual Arts at Stanford",,x
Beth Takekawa,24,1,6,"Executive Director, Wing Luke Museum of the Asian Pacific American Experience",Yes,
Rosanna Sharpe,25,1,6,"Executive Director, Northwest African American Museum",Yes,
Josi Callan,26,1,6,"Artist, Former CEO, Experience Music Project, Former Director, Museum of Glass, San Jose Museum of Art",,
Barbara Johns,27,2,5,"Former Chief Curator, Tacoma Art Museum, author",,
Chiyo Ishikawa,28,2,5,"Deputy Director, Curator of European Painting and Sculpture, Seattle Art Museum",Yes,
Julie Emerson ,29,2,5,"Former Curator of Decorative Arts, Seattle Art Museum",,
Julie Lazar,30,2,5,"Founder, International Contemporary Arts Network, Former Founding Curator, Museum of Contemporary Art",,x
Laura Fry,31,2,5,"Curator of Art, Gilcrease Museum; Former founding Curator of Western American Art, Tacoma Art Museum",,
Elizabeth Brown,32,2,5,"Independent art historian and curator; Former curator, Henry Art Gallery",,
Maryan Ainsworth,33,2,5,"Curator of European Paintings, The Metropolitan Museum of Art",,x
Robin Held,34,2,5,"Arts business consultant and Former Deputy Director, Exhibitions and Collections Frye Art Museum",Yes,
Sara Krajewski,35,2,5,Curator of Modern and Contemporary Art at the Portland Museum of Art,,
Susan Warner,36,2,5,"Artistic Director, Museum of Glass",x,
Lonnie Stokes Sims,37,2,5,Retired Curator Emerita at the Museum of Arts and Design,,x
Claudia Bach,38,3,4,"Principal and founder, AdvisArts",,x
Diane Shamash,39,3,4,Founder and executive director of Minetta Brook,,x
Florangela Davila,40,3,4,"Director, Forterra",,x
Kristina Goetz,41,3,4,"Development Director, Artist Trust",,x
Laura Becker,42,3,4,"Executive Director, Spokane Arts",,
